Lev.YearMonth;Hämtställe;Hämtställe Gatuadress;Hämtställe Ort;Hämtställe Märkning;Artikel;RODkod;RodKodbeskr;EWCkod;Farligt avfall;Kvantitet kg
202302;0468785      Volvo Personvagnar AB (Göteborg);Volvo Jakobs väg 3;Göteborg;Rest. Höjden, kundnr: 0468785;3094 Hushållsavfall,utsorterat;R1;R1 With energy recovery;200301;NEJ;1 008
202302;04363347    Volvo Personvagnar AB (Göteborg);Volvo Jakobs Väg/PVD Norra;Göteborg;Rest. The Harvest (Volvo PVD);3094 Hushållsavfall,utsorterat;R1;R1 With energy recovery;200301;NEJ;2 814
202302;05190673    Volvo Personvagnar AB (Göteborg);Röra Byväg;Göteborg;CWT2;3160 Träavfall målat, bygg & riv;R1;R1 With energy recovery;170201;NEJ;3 700
202302;05668033    Volvo Personvagnar AB (Göteborg);Tunnelvägen;Göteborg;Project - WPO PV Renovation;3160 Träavfall målat, bygg & riv;R1;R1 With energy recovery;170201;NEJ;680
202302;0283077      Volvo Personvagnar AB (Göteborg);PVRS Riskskjul Döda dalen;Göteborg;PV Styckegods Farligt Avfall;3221 Färg-, lack-, limavfall;R1;R1 With energy recovery;080111;JA;538
202302;04621678    Volvo Personvagnar AB (Göteborg);Miljöstation RA;Göteborg;FA Styckegods;3320 Isocyanater;R1;R1 With energy recovery;080501;JA;65
202302;05358114    Volvo Personvagnar AB (Göteborg);Assar Gabrielssons väg;Göteborg;Byggnad RB;3283 FTI Plastförp, FNI;R3;R3 Recycled, incl metal scrap;150102;NEJ;40
202302;05358114    Volvo Personvagnar AB (Göteborg);Assar Gabrielssons väg;Göteborg;Byggnad RB;3284 FTI Pappersförp, FNI;R3;R3 Recycled, incl metal scrap;200101;NEJ;80
202302;0283077      Volvo Personvagnar AB (Göteborg);PVRS Riskskjul Döda dalen;Göteborg;PV Styckegods Farligt Avfall;3320 Isocyanater;R1;R1 With energy recovery;080501;JA;6
202302;0447177      Volvo Personvagnar AB (Göteborg);Miljöstation 1;Göteborg;RA 1:an;3601 Träavfall, omålat;R1;R1 With energy recovery;200138;NEJ;27 380
202302;0447177      Volvo Personvagnar AB (Göteborg);Miljöstation 1;Göteborg;RA 1:an;3969 PET/PP Plastband;R13;R13 Recycled, incl metal scrap;200139;NEJ;1 820
202302;0469510      Volvo Personvagnar AB (Göteborg);Miljöstation 2;Göteborg;RA 2:an;3601 Träavfall, omålat;R1;R1 With energy recovery;200138;NEJ;28 180
202302;03879145    Volvo Personvagnar AB (Göteborg);John Bunyans väg 4;Göteborg;PV Byggnad PVÖL;3602 Träavfall, målat;R1;R1 With energy recovery;200138;NEJ;24 540
202302;0469510      Volvo Personvagnar AB (Göteborg);Miljöstation 2;Göteborg;RA 2:an;3602 Träavfall, målat;R1;R1 With energy recovery;200138;NEJ;7 280
202302;05456355    Volvo Personvagnar AB (Göteborg);Designvägen;Göteborg;PV Miljö 1;3654 Hushållsavfall för sortering;R1;R1 With energy recovery;200301;NEJ;5 780
202302;0178855      Volvo Personvagnar AB (Göteborg);Gunnar Engellaus väg;Göteborg;VAK, kundnr: 0178855;3654 Hushållsavfall för sortering;R1;R1 With energy recovery;200301;NEJ;2 690
202302;0469510      Volvo Personvagnar AB (Göteborg);Miljöstation 2;Göteborg;RA 2:an;3654 Hushållsavfall för sortering;R1;R1 With energy recovery;200301;NEJ;1 740
202302;04621678    Volvo Personvagnar AB (Göteborg);Miljöstation RA;Göteborg;FA Styckegods;3732 Absorbenter, trasor &;R1;R1 With energy recovery;150202;JA;41
202302;0283077      Volvo Personvagnar AB (Göteborg);PVRS Riskskjul Döda dalen;Göteborg;PV Styckegods Farligt Avfall;3732 Absorbenter, trasor &;R1;R1 With energy recovery;150202;JA;140
202302;0469601      Volvo Personvagnar AB (Göteborg);TLE;Göteborg;TLE, kundnr: 0469601;3732 Absorbenter, trasor &;R1;R1 With energy recovery;150202;JA;468
