Lev.YearMonth;HÑmtstÑlle;HÑmtstÑlle Gatuadress;HÑmtstÑlle Ort;HÑmtstÑlle MÑrkning;Artikel;RODkod;RodKodbeskr;EWCkod;Farligt avfall;Kvantitet kg
202301;04257192    Volvo Personvagnar AB (Lammhult);NyholmsvÑgen 1;Lammhult;Externlager Lammhult;1875 Komplext skrot fîr fragm;R4;R4 Recycled, incl metal scrap;120199;NEJ;11 360
202301;05250022    Volvo Personvagnar AB (Gîteborg);Parkering PVBL;Gîteborg;Batlab Steg 3;1899 Blandskrot;R4;R4 Recycled, incl metal scrap;170405;NEJ;2 120
202301;05336987    Volvo Personvagnar AB (Gîteborg);PressvÑgen/VÑster om TLA;Gîteborg;MîbelfîrrÜd WPO;1899 Blandskrot;R4;R4 Recycled, incl metal scrap;200140;NEJ;2 240
202301;05190673    Volvo Personvagnar AB (Gîteborg);Rîra ByvÑg;Gîteborg;CWT2;1899 Blandskrot;R4;R4 Recycled, incl metal scrap;170405;NEJ;3 440
202301;05684634    Volvo Personvagnar AB (Gîteborg);Rîra byvÑg, hus 20;Gîteborg;PV35 Complete HIL;1899 Blandskrot;R4;R4 Recycled, incl metal scrap;170405;NEJ;200
202301;0469601      Volvo Personvagnar AB (Gîteborg);TLE;Gîteborg;TLE, kundnr: 0469601;1875 Komplext skrot fîr fragm;R4;R4 Recycled, incl metal scrap;120199;NEJ;1 350
202301;0447201      Volvo Personvagnar AB (Gîteborg);TunnelvÑgen, G5 FîrrÜd 101;Gîteborg;PV èV GèRD, kundnr: 0447201;452 Blybatterier, start;R4;R4 Recycled, incl metal scrap;160601;JA;1 929
202301;0447201      Volvo Personvagnar AB (Gîteborg);TunnelvÑgen, G5 FîrrÜd 101;Gîteborg;PV èV GèRD, kundnr: 0447201;758 Kopparkabel, bilkablage;R4;R4 Recycled, incl metal scrap;160214;NEJ;1 520
202301;0447201      Volvo Personvagnar AB (Gîteborg);TunnelvÑgen, G5 FîrrÜd 101;Gîteborg;PV èV GèRD, kundnr: 0447201;769 Kabelskrot, îvrigt;R4;R4 Recycled, incl metal scrap;160214;NEJ;80
202301;0447201      Volvo Personvagnar AB (Gîteborg);TunnelvÑgen, G5 FîrrÜd 101;Gîteborg;PV èV GèRD, kundnr: 0447201;1833 SkÑrskrot;R4;R4 Recycled, incl metal scrap;120199;NEJ;2 905
202301;0447201      Volvo Personvagnar AB (Gîteborg);TunnelvÑgen, G5 FîrrÜd 101;Gîteborg;PV èV GèRD, kundnr: 0447201;1875 Komplext skrot fîr fragm;R4;R4 Recycled, incl metal scrap;120199;NEJ;13 432
202301;0447201      Volvo Personvagnar AB (Gîteborg);TunnelvÑgen, G5 FîrrÜd 101;Gîteborg;PV èV GèRD, kundnr: 0447201;3020 Nickelmetallhydrid-;R4;R4 Recycled, incl metal scrap;160605;NEJ;15
202301;0447201      Volvo Personvagnar AB (Gîteborg);TunnelvÑgen, G5 FîrrÜd 101;Gîteborg;PV èV GèRD, kundnr: 0447201;3024 Litiumbatterier;R4;R4 Recycled, incl metal scrap;160605;NEJ;5
202301;0447201      Volvo Personvagnar AB (Gîteborg);TunnelvÑgen, G5 FîrrÜd 101;Gîteborg;PV èV GèRD, kundnr: 0447201;3501 Batterier, smÜ (maxvikt 3 kg);R4;R4 Recycled, incl metal scrap;200133;JA;555
202301;0447201      Volvo Personvagnar AB (Gîteborg);TunnelvÑgen, G5 FîrrÜd 101;Gîteborg;PV èV GèRD, kundnr: 0447201;3703 NiCd, batterier;R4;R4 Recycled, incl metal scrap;160602;JA;7
202301;0447201      Volvo Personvagnar AB (Gîteborg);TunnelvÑgen, G5 FîrrÜd 101;Gîteborg;PV èV GèRD, kundnr: 0447201;3715 ôvriga lampor < 60 cm;R4;R4 Recycled, incl metal scrap;160215;JA;391
